id,product id,review source,traveller name,rating,rating out of,title,body,travelled date,traveller type,link,submitted date,full review
,0087AF84-CB5B-4138-8E07-A389B56C15E8,Trip Advisor,Gaile H,5,5,Best Tour Guide I have meet,"The heat just about killed us but Marwa was very understanding. Her knowledge is outstanding and I go away from here with some awsume memory's.
Thank you Marwa.",Jul-25,Couples,https://www.tripadvisor.com.au/ShowUserReviews-g294202-d11454104-r1016797745-From_Cairo_Private_Crowd_Free_Half_Day_Pyramids_Adventure-Giza_Giza_Governorat.html,6-Jul-25,"Gaile H
6 contributions
0
Best Tour Guide I have meet
July 2025 • Couples
The heat just about killed us but Marwa was very understanding. Her knowledge is outstanding and I go away from here with some awsume memory's.
Thank you Marwa.
Read more
Written 6 July 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,0307525E-CF7F-4BF0-A7DA-F8E26346C5CD,Trip Advisor,Michelle F,5,5,Fun afternoon bar tour,"Great small group tour, checked out 3 cool small bars with great drinks and Anna was a great guide. Also some fun history information about the area",Aug-25,Solo,https://www.tripadvisor.com.au/ShowUserReviews-g255100-d12577138-r1023380488-Melbourne_s_History_with_a_Drink_Tour-Melbourne_Victoria.html,9-Aug-25,"Michelle F
11 contributions
0
Fun afternoon bar tour
Aug 2025 • Solo
Great small group tour, checked out 3 cool small bars with great drinks and Anna was a great guide. Also some fun history information about the area
Written 9 August 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,0399231C-E9FF-4553-813B-C050AECC2264,Trip Advisor,Dawn018,5,5,Fabulous tour,This was a great tour. Full of interesting buildings plus history followed by great food. We loved it. Nice relaxing pace in the heat. Friendly tour guide who knew his stuff and clearly loved his job.,Aug-25,Couples,https://www.tripadvisor.com.au/ShowUserReviews-g35805-d17565534-r1023615521-Chicago_in_a_Day_Explore_Food_History_and_Iconic_Architecture-Chicago_Illinois.html,10-Aug-25,"Dawn018
bristol31 contributions
0
Fabulous tour
This was a great tour. Full of interesting buildings plus history followed by great food. We loved it. Nice relaxing pace in the heat. Friendly tour guide who knew his stuff and clearly loved his job.
Written 10 August 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,08399BDF-7FB2-4012-A20C-B1BC940E1E6C,Trip Advisor,nicola608,5,5,Great way to see some of the city!,Lovely tour of some of the sights of Nairobi. The tour guide Erick was very knowledgeable and the tour was so informative.,Aug-25,Solo,https://www.tripadvisor.com.au/ShowUserReviews-g294207-d11453286-r1023834333-Nairobi_City_Walking_Tour_with_Traditional_Kenyan_Lunch-Nairobi.html,11-Aug-25,"nicola608
London, UK4 contributions
0
Great way to see some of the city!
Aug 2025 • Solo
Lovely tour of some of the sights of Nairobi. The tour guide Erick was very knowledgeable and the tour was so informative.
Read more
Written 11 August 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,0F3EA9B5-98F9-4B98-8273-8072B89A0097,Trip Advisor,Michael H,5,5,"The best intro to Florentine culture, food, and history possible","Ciara was AMAZING. We met her in Florence centre and were treated to 3 hours of great food, wine and company. Ciara was super knowledgable of Florence and we learnt so much. Great taste, great conversation, the time flew by! Felt like we were just chatting the evening away with a friend :)",Jul-25,Couples,https://www.tripadvisor.com.au/ShowUserReviews-g187895-d11453218-r1021779782-Florence_Foodie_Tour_Traditional_Tuscan_Flavors_Wine_Tasting-Florence_Tuscany.html,30-Jul-25,"Michael H
1 contribution
0
The best intro to Florentine culture, food, and history possible
July 2025 • Couples
Ciara was AMAZING. We met her in Florence centre and were treated to 3 hours of great food, wine and company. Ciara was super knowledgable of Florence and we learnt so much. Great taste, great conversation, the time flew by! Felt like we were just chatting the evening away with a friend :)
Read more
Written 30 July 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,116C8879-C035-411D-B30A-1F2E24C2FB7E,Trip Advisor,John J,5,5,Excellent private walking tour and meal in Bucharest.,"This private one on one Discover Bucharest Highlights and Food Tour was excellent. Made especially wonderful by our tour guide Elana (pronounced Ejuana). As a native Bucharest resident and highly educated double master student in history, she was extremely knowledgeable in this field and carried out this tour to perfection. The finishing touch was an excellent Romanian 3 course meal. I highly recommend this tour and hope you get Elana as your guide.",Oct-24,Friends,https://www.tripadvisor.com.au/ShowUserReviews-g294458-d11476689-r983820102-Discover_Bucharest_Private_Highlights_and_Traditional_Food_Tour-Bucharest.html,10-Dec-24,"John J
Bluffton, SC148 contributions
0
Excellent private walking tour and meal in Bucharest.
This private one on one Discover Bucharest Highlights and Food Tour was excellent. Made especially wonderful by our tour guide Elana (pronounced Ejuana). As a native Bucharest resident and highly educated double master student in history, she was extremely knowledgeable in this field and carried out this tour to perfection. The finishing touch was an excellent Romanian 3 course meal. I highly recommend this tour and hope you get Elana as your guide.
Read more
Written 10 December 2024
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,13848235-7A90-47F2-BD85-26A5BD274E72,Trip Advisor,William M,5,5,Delicious Vienna Tour,"This was a fun, cultural, and delicious half-day experience while in Vienna! The tour guide, Maria, was friendly and knowledgeable making for an enjoyable day.
Definitely come hungry as you will experience all that Vienna cuisine has to offer.",Jul-25,Family,https://www.tripadvisor.com.au/ShowUserReviews-g190454-d12341405-r1023531727-Vienna_for_Food_Lovers_Hidden_Cafes_Market_Gems-Vienna.html,10-Aug-25,"William M
2 contributions
0
Delicious Vienna Tour
This was a fun, cultural, and delicious half-day experience while in Vienna! The tour guide, Maria, was friendly and knowledgeable making for an enjoyable day.
Definitely come hungry as you will experience all that Vienna cuisine has to offer.
Read more
Written 10 August 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,13E0346F-6B08-4BE1-B1FF-3A0F304A60D5,Trip Advisor,Dee,5,5,Amazing Game of Thrones Tour,"What an awesome tour we had on Tuesday 18 June with our very knowledgeable guide - Doris, from Urban Adventures. I highly recommend this tour around the Old City of Dubrovnik and Lovrenjac Fort. It made me feel as though I had been transported back in time. With Doris providing detailed descriptions of the scenes filmed at each of the locations and having a photo showing
the actual scene just made you feel as though you were on set. Doris was patient and answered all questions asked and also provided some interesting bits of information about the actors that she had met during their stay in Dubrovnik. The tour group was small enough so that we all felt that we were receiving individual attention.
Most enjoyable.",Jun-19,Solo,https://www.tripadvisor.com.au/ShowUserReviews-g303828-d15001253-r682732471-Throne_Zone_Private_Dubrovnik_Game_of_Thrones_Tour-Ploce_Dubrovnik_Neretva_Coun.html,19-Jun-19,"Dee
1 contribution
1
Amazing Game of Thrones Tour
June 2019 • Solo
What an awesome tour we had on Tuesday 18 June with our very knowledgeable guide - Doris, from Urban Adventures. I highly recommend this tour around the Old City of Dubrovnik and Lovrenjac Fort. It made me feel as though I had been transported back in time. With Doris providing detailed descriptions of the scenes filmed at each of the locations and having a photo showing
the actual scene just made you feel as though you were on set. Doris was patient and answered all questions asked and also provided some interesting bits of information about the actors that she had met during their stay in Dubrovnik. The tour group was small enough so that we all felt that we were receiving individual attention.
Most enjoyable.
Read more
Written 19 June 2019
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,1769DBBA-3059-40E3-A8F2-DDBF4CFC80C3,Trip Advisor,Excursion108041,5,5,Great walking tour in Quito.,"Luis was my guide and he was amazing! He shared the food, culture, and the history of Ecuador and Quito with me on this walking tour. I appreciated his desire to show off the city he was born in. I was the only one on this tour on a Wednesday morning. I don't speak Spanish, so it was great to speak to someone who spoke English fluently and could translate for me at the same time. I would highly recommend this tour.",Jun-25,Solo,https://www.tripadvisor.com.au/ShowUserReviews-g294308-d11450810-r1017254323-Explore_Old_Town_Quito_Sightseeing_Food_Culture_Small_Group_Walking_Tour-Quito.html,8-Jul-25,"Excursion108041
Seattle, WA1 contribution
0
Great walking tour in Quito.
June 2025 • Solo
Luis was my guide and he was amazing! He shared the food, culture, and the history of Ecuador and Quito with me on this walking tour. I appreciated his desire to show off the city he was born in. I was the only one on this tour on a Wednesday morning. I don't speak Spanish, so it was great to speak to someone who spoke English fluently and could translate for me at the same time. I would highly recommend this tour.
Read more
Written 8 July 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
,179E2950-6F59-4DAF-9FA1-F8AE600DF4C8,Trip Advisor,donald o,5,5,Taste of Morocco for a night,"The tour Was really a very small group. Just me and the guide JIHAD!! It was quick and informative. So We had moroccan mint tea wirh local naan bread, sardine sandwich, local minestrone soup, kuskus, some desserts. Food in General Was bland for my personal taste. But Thats How they do it here. Interesting How the local moroccan desserts are reallu sweet, bees were ALL over the dessert shop. . Its good to have a tour Like this to sample ALL the little food that I wouldnt normally try on my own. Was expecting little portions, But Was more than full after the tour. Thanks for the wonderful food tour",Jul-25,Solo,https://www.tripadvisor.com.au/ShowUserReviews-g293734-d11453345-r1020481644-A_Night_in_the_Medina_Food_Flavors_Culture-Marrakech_Marrakech_Safi.html,23-Jul-25,"donald o
Naga, Philippines74 contributions
0
Taste of Morocco for a night
July 2025 • Solo
The tour Was really a very small group. Just me and the guide JIHAD!! It was quick and informative. So We had moroccan mint tea wirh local naan bread, sardine sandwich, local minestrone soup, kuskus, some desserts. Food in General Was bland for my personal taste. But Thats How they do it here. Interesting How the local moroccan desserts are reallu sweet, bees were ALL over the dessert shop. . Its good to have a tour Like this to sample ALL the little food that I wouldnt normally try on my own. Was expecting little portions, But Was more than full after the tour. Thanks for the wonderful food tour
Read more
Written 23 July 2025
This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more."
